Frame,Angle (rad)
699.0,-0.6921315242097027
700.0,-0.7653738850614328
701.0,-0.8176911665169767
702.0,-1.0505915233121386
703.0,-1.1626566183920082
704.0,-1.130032883892048
705.0,-1.083173771130769
706.0,-1.301531880126791
707.0,-1.3168509800557155
708.0,-1.1609970210498342
709.0,-1.0736681920328492
710.0,-1.4552962062324308
711.0,-1.4509458304816447
712.0,-1.6075635756277271
713.0,-1.6403215194310068
714.0,-1.7727328482922995
715.0,-1.8095116457894866
716.0,-1.9412573545910852
717.0,-1.8907715755968524
718.0,-1.9598346388375996
719.0,-2.086008158908182
720.0,-2.2799693637331666
721.0,-2.2424141388051373
722.0,-2.2845028697660212
723.0,-2.335324833433117
724.0,-2.533862058552887
725.0,-2.4772843667676856
726.0,-2.5733507708400536
727.0,-2.6727398581714343
728.0,-2.9708320687646417
729.0,-3.071773971793751
730.0,3.068524361834125
731.0,3.0300326482828126
732.0,3.0764751204112657
733.0,3.0921434774006027
734.0,2.996021975142462
735.0,3.0392961171902306
736.0,3.0512720395298727
737.0,3.065139409287784
738.0,3.0540076311765643
739.0,3.055727465879146
740.0,2.989337067143013
741.0,2.9529384125335234
742.0,2.877390900906027
743.0,2.8434063818159783
744.0,2.682367530644952
745.0,2.718772504397333
746.0,2.6788334920672856
747.0,2.6711514803385006
748.0,2.6082074950671617
749.0,2.6611055443078087
750.0,2.677701737242412
751.0,2.7763675788749014
752.0,2.9190036696230024
753.0,2.965801128521216
754.0,3.0460036340825707
755.0,2.959001821881725
756.0,2.904399253618479
757.0,2.8784410544150463
758.0,2.8924704961337913
759.0,2.8719333315714994
760.0,2.865269920970903
761.0,2.9122011827225793
762.0,2.919129142175594
763.0,3.0020313365758566
764.0,3.0135378698916426
765.0,3.1144890563833076
766.0,3.1186476890577897
767.0,-3.0330443828451346
768.0,-2.9479347066723838
769.0,-2.7857748291918667
770.0,-2.697156551745379
771.0,-2.5674828506988088
772.0,-2.21201565992327
773.0,-2.032979525952993
774.0,-1.8951340711188536
775.0,-1.493805650405529
776.0,-1.5478858848256005
777.0,-1.1957202077287297
778.0,-1.0322880059922808
779.0,-0.8472987846409638
780.0,-0.8482906213821997
781.0,-0.8618001406287643
782.0,-0.6320943624432317
783.0,-0.5704814194659666
784.0,-0.6908366751436369
785.0,-0.5722976673654508
786.0,-0.673644231581264
787.0,-0.7674875303659032
788.0,-0.743190336741055
789.0,-0.8607733405127526
790.0,-0.760061835457326
791.0,-0.9191331067896157
792.0,-0.9504629868142227
793.0,-0.9036345969256567
794.0,-0.8074430520967706
795.0,-0.8983565099291789
796.0,-0.8691366206734379
797.0,-0.9169007890536612
798.0,-1.0021308150871318
